[2026-02-04T07:38:01.387+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-02-04T07:38:01.425+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: minio_to_snowflake.download_minio scheduled__2026-02-04T07:37:00+00:00 [queued]>
[2026-02-04T07:38:01.433+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: minio_to_snowflake.download_minio scheduled__2026-02-04T07:37:00+00:00 [queued]>
[2026-02-04T07:38:01.434+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 2
[2026-02-04T07:38:01.448+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): download_minio> on 2026-02-04 07:37:00+00:00
[2026-02-04T07:38:01.463+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:62 DeprecationWarning: This process (pid=2734) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2026-02-04T07:38:01.460+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'minio_to_snowflake', 'download_minio', 'scheduled__2026-02-04T07:37:00+00:00', '--job-id', '669', '--raw', '--subdir', 'DAGS_FOLDER/minio_to_snowflake.py', '--cfg-path', '/tmp/tmpc9_ofaj6']
[2026-02-04T07:38:01.464+0000] {standard_task_runner.py:64} INFO - Started process 2739 to run task
[2026-02-04T07:38:01.464+0000] {standard_task_runner.py:91} INFO - Job 669: Subtask download_minio
[2026-02-04T07:38:01.554+0000] {task_command.py:426} INFO - Running <TaskInstance: minio_to_snowflake.download_minio scheduled__2026-02-04T07:37:00+00:00 [running]> on host 1a57f62d265e
[2026-02-04T07:38:01.682+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='minio_to_snowflake' AIRFLOW_CTX_TASK_ID='download_minio' AIRFLOW_CTX_EXECUTION_DATE='2026-02-04T07:37:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2026-02-04T07:37:00+00:00'
[2026-02-04T07:38:01.683+0000] {taskinstance.py:430} INFO - ::endgroup::
[2026-02-04T07:38:01.859+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190211.json
[2026-02-04T07:38:01.868+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190221.json
[2026-02-04T07:38:01.877+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190233.json
[2026-02-04T07:38:01.885+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190244.json
[2026-02-04T07:38:01.893+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190256.json
[2026-02-04T07:38:01.902+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190268.json
[2026-02-04T07:38:01.911+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190278.json
[2026-02-04T07:38:01.921+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190289.json
[2026-02-04T07:38:01.929+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190300.json
[2026-02-04T07:38:01.938+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190310.json
[2026-02-04T07:38:01.946+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190323.json
[2026-02-04T07:38:01.955+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190333.json
[2026-02-04T07:38:01.964+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190344.json
[2026-02-04T07:38:01.973+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190356.json
[2026-02-04T07:38:01.981+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190368.json
[2026-02-04T07:38:01.991+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190378.json
[2026-02-04T07:38:02.002+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190388.json
[2026-02-04T07:38:02.012+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190399.json
[2026-02-04T07:38:02.024+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190410.json
[2026-02-04T07:38:02.034+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190421.json
[2026-02-04T07:38:02.044+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190432.json
[2026-02-04T07:38:02.055+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770190442.json
